,W05p,W05se,W06p,W06se,W07p,W07se,W08p,W08se,W09p,W09se,W10p,W10se
scsf2a-sign.Diff-2 (%),-1.37,***,-1.59,***,-1.21,***,-1.37,***,NA,NA,0.02,
scsf2a-single-3 (%),4.43,0.25,5.46,0.28,5.26,0.28,3.65,0.2,NA,NA,6.38,0.25
scsf2a-mixed-3 (%),10.96,0.37,10.52,0.37,9.56,0.35,7.61,0.29,NA,NA,6.18,0.27
scsf2a-sign.Diff-3 (%),-6.53,***,-5.05,***,-4.29,***,-3.97,***,NA,NA,0.2,
scsf2a-single-NA (%),93.89,0.3,92.62,0.32,92.97,0.32,94.8,0.23,NA,NA,91.23,0.29
scsf2a-mixed-NA (%),85.5,0.42,85.54,0.42,87.13,0.4,89.34,0.34,NA,NA,91.99,0.3
scsf2a-sign.Diff-NA (%),8.38,***,7.08,***,5.84,***,5.46,***,NA,NA,-0.76,*
scsf2b-single-1 (%),0.61,0.1,0.79,0.11,0.68,0.1,0.65,0.08,NA,NA,1.06,0.11
scsf2b-mixed-1 (%),1.38,0.14,1.38,0.14,1.07,0.12,0.96,0.11,NA,NA,0.75,0.1
scsf2b-sign.Diff-1 (%),-0.77,***,-0.58,***,-0.39,**,-0.31,**,NA,NA,0.31,**
scsf2b-single-2 (%),1.34,0.14,1.38,0.14,1.38,0.14,1.16,0.11,NA,NA,1.75,0.14
scsf2b-mixed-2 (%),2.61,0.19,2.89,0.2,2.74,0.2,2.53,0.17,NA,NA,1.72,0.14
scsf2b-sign.Diff-2 (%),-1.27,***,-1.51,***,-1.35,***,-1.37,***,NA,NA,0.03,
scsf2b-single-3 (%),4.12,0.25,5.14,0.27,4.96,0.27,3.39,0.19,NA,NA,5.92,0.25
scsf2b-mixed-3 (%),10.46,0.37,10.13,0.36,9.05,0.34,7.17,0.29,NA,NA,5.56,0.25
scsf2b-sign.Diff-3 (%),-6.34,***,-4.99,***,-4.1,***,-3.78,***,NA,NA,0.36,
scsf2b-single-NA (%),93.93,0.29,92.68,0.32,92.97,0.32,94.8,0.23,NA,NA,91.27,0.29
scsf2b-mixed-NA (%),85.56,0.42,85.6,0.42,87.13,0.4,89.34,0.34,NA,NA,91.98,0.3
scsf2b-sign.Diff-NA (%),8.37,***,7.08,***,5.84,***,5.46,***,NA,NA,-0.71,*
smoker-single-0 (%),NA,NA,NA,NA,6.13,0.3,4.64,0.22,4.2,0.22,7.93,0.28
smoker-mixed-0 (%),NA,NA,NA,NA,11.75,0.39,9.31,0.32,7.13,0.26,7.46,0.29
smoker-sign.Diff-0 (%),NA,NA,NA,NA,-5.62,***,-4.67,***,-2.92,***,0.47,
smoker-single-1 (%),NA,NA,NA,NA,1.22,0.14,0.86,0.1,0.79,0.09,1.33,0.12
smoker-mixed-1 (%),NA,NA,NA,NA,1.95,0.17,1.51,0.14,1.07,0.11,0.85,0.1
smoker-sign.Diff-1 (%),NA,NA,NA,NA,-0.73,***,-0.65,***,-0.28,**,0.48,***
smoker-single-NA (%),NA,NA,NA,NA,92.65,0.32,94.5,0.24,95.01,0.23,90.74,0.3
smoker-mixed-NA (%),NA,NA,NA,NA,86.3,0.41,89.18,0.34,91.8,0.28,91.7,0.31
smoker-sign.Diff-NA (%),NA,NA,NA,NA,6.35,***,5.32,***,3.21,***,-0.95,**
vote1-single-0 (%),7.35,0.32,6.75,0.31,4.78,0.26,NA,NA,NA,NA,NA,NA
vote1-mixed-0 (%),12.44,0.39,11.69,0.38,9.13,0.34,NA,NA,NA,NA,NA,NA
vote1-sign.Diff-0 (%),-5.09,***,-4.94,***,-4.35,***,NA,NA,NA,NA,NA,NA
vote1-single-1 (%),3.27,0.22,2.65,0.2,2.54,0.19,NA,NA,NA,NA,NA,NA
vote1-mixed-1 (%),5.8,0.28,4.47,0.25,4.41,0.25,NA,NA,NA,NA,NA,NA
vote1-sign.Diff-1 (%),-2.53,***,-1.82,***,-1.87,***,NA,NA,NA,NA,NA,NA
vote1-single-NA (%),89.38,0.38,90.6,0.36,92.68,0.32,NA,NA,NA,NA,NA,NA
vote1-mixed-NA (%),81.76,0.46,83.84,0.44,86.46,0.41,NA,NA,NA,NA,NA,NA
vote1-sign.Diff-NA (%),7.62,***,6.76,***,6.22,***,NA,NA,NA,NA,NA,NA
vote6-single-1 (%),0.99,0.12,1.08,0.13,0.76,0.11,NA,NA,NA,NA,NA,NA
vote6-mixed-1 (%),1.52,0.15,1.35,0.14,1.3,0.14,NA,NA,NA,NA,NA,NA
vote6-sign.Diff-1 (%),-0.53,***,-0.27,,-0.54,***,NA,NA,NA,NA,NA,NA
vote6-single-2 (%),3.91,0.24,3.1,0.21,2.71,0.2,NA,NA,NA,NA,NA,NA
vote6-mixed-2 (%),6.69,0.3,5.33,0.27,4.96,0.26,NA,NA,NA,NA,NA,NA
vote6-sign.Diff-2 (%),-2.78,***,-2.23,***,-2.25,***,NA,NA,NA,NA,NA,NA
vote6-single-3 (%),3.04,0.21,2.72,0.2,2.21,0.18,NA,NA,NA,NA,NA,NA
vote6-mixed-3 (%),5.44,0.27,4.94,0.26,4.76,0.25,NA,NA,NA,NA,NA,NA
vote6-sign.Diff-3 (%),-2.4,***,-2.22,***,-2.55,***,NA,NA,NA,NA,NA,NA
vote6-single-4 (%),2.72,0.2,2.49,0.19,1.64,0.16,NA,NA,NA,NA,NA,NA
vote6-mixed-4 (%),4.67,0.25,4.57,0.25,2.59,0.19,NA,NA,NA,NA,NA,NA
vote6-sign.Diff-4 (%),-1.95,***,-2.08,***,-0.95,***,NA,NA,NA,NA,NA,NA
vote6-single-NA (%),89.34,0.38,90.6,0.36,92.68,0.32,NA,NA,NA,NA,NA,NA
vote6-mixed-NA (%),81.68,0.46,83.81,0.44,86.39,0.41,NA,NA,NA,NA,NA,NA
vote6-sign.Diff-NA (%),7.66,***,6.79,***,6.29,***,NA,NA,NA,NA,NA,NA
xpmove-single-0 (%),9.7,0.37,8.5,0.34,6.37,0.3,4.89,0.23,NA,NA,8.19,0.29
xpmove-mixed-0 (%),16.02,0.44,14.51,0.42,11.96,0.39,9.36,0.32,NA,NA,7.59,0.29
xpmove-sign.Diff-0 (%),-6.31,***,-6.01,***,-5.59,***,-4.47,***,NA,NA,0.59,
xpmove-single-1 (%),0.97,0.12,0.93,0.12,0.75,0.11,0.44,0.07,NA,NA,0.74,0.09
xpmove-mixed-1 (%),2.46,0.19,1.78,0.16,1.46,0.14,1.25,0.12,NA,NA,0.63,0.09
xpmove-sign.Diff-1 (%),-1.49,***,-0.85,***,-0.72,***,-0.82,***,NA,NA,0.11,
xpmove-single-NA (%),89.32,0.38,90.57,0.36,92.88,0.32,94.68,0.24,NA,NA,91.08,0.3
xpmove-mixed-NA (%),81.52,0.46,83.71,0.44,86.58,0.41,89.39,0.34,NA,NA,91.78,0.3
xpmove-sign.Diff-NA (%),7.8,***,6.86,***,6.31,***,5.29,***,NA,NA,-0.7,*
